path,is_valid,width,height,channels,aspect_ratio,error,blur_score,brightness,contrast,filename,label,claim_id,sha256,dhash
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\15.jpg,True,853,639,3,1.3349,,147.4255,77.0934,40.7325,15.jpg,0,15,2618d5dbd2eb9abc43bc9b1378c4592a0bfbc296a52ba0eb02cc2e3f2bf43794,0ff3e8939fbc7073
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\16.jpg,True,1237,927,3,1.3344,,1019.7714,177.4617,66.9565,16.jpg,0,16,a20eeb08fd3c051607dc81ad0b3f6d7054034779ee5c3c1eba5a4bb9346ae4d7,b3f1e04c6c676f6e
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\17.jpg,True,873,654,3,1.3349,,137.5357,128.0019,80.1243,17.jpg,0,17,3c9839acbc5d9bd4923339474ea637db1ee69e335ac97b727296b3856ca5935a,2061420660404040
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\18.jpg,True,1132,849,3,1.3333,,27.2478,116.2958,43.0553,18.jpg,1,18,435d77022a436665948357ec14728d8a30739aaf0466207c19a7c636d96cc339,d490ab93b397c6c6
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\22.jpg,True,1265,948,3,1.3344,,8.4474,114.2084,35.8763,22.jpg,0,22,6baa516659c384d47a4cfbb60034fdd787236e7aa89c722a49b02f264efd6b71,3f108c0c9818e070
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\23.jpg,True,1342,1006,3,1.334,,579.5602,60.68,53.9959,23.jpg,0,23,4cf98c72dc22c7dabf1283d1800e387442be1bf34d702a7218e645756dee7681,a5d0112121d1a151
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\24.jpg,True,859,644,3,1.3339,,133.2382,95.2279,57.7107,24.jpg,0,24,c2759583ef8abe29096c6ba7b1d8ea20819d1415cacdb2146ddcc9601a4f8220,90d1c90431071b07
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\27.jpg,True,899,674,3,1.3338,,44.8415,116.6331,63.5494,27.jpg,0,27,76cd81d897f3856c15a5597416cec35a864f48af79a9773319de0bee01d13b03,c7cb9b9b333bdff9
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\30.jpg,True,832,624,3,1.3333,,81.438,92.0043,56.486,30.jpg,0,30,1b1a66412c3b662a16c4a09b1605bf774cf26d986aec439b6d2c4aade0aa1074,79003d3878499431
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\31.jpg,True,1348,1011,3,1.3333,,83.3108,61.5535,34.7934,31.jpg,0,31,3c265414fe9a2e64006f9a087fdedfe2019f5e30472c11ebe1dcae6d7790ec22,2c4ecc121ce135f1
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\36.jpg,True,870,652,3,1.3344,,2991.4947,122.1021,62.1968,36.jpg,0,36,0707f0fee72e97d07017c60b299a1ffeb1c49ec80d9fb5f86138046bc48ea2d9,1a1ad9f0f0987034
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\38.jpg,True,849,636,3,1.3349,,259.4764,126.3054,65.7021,38.jpg,0,38,a67b1fa8aee0462da05729327c31501f84a64dcf2cd9e9a7438294a93fcb8259,9d8d9e12f10ccf87
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\41.jpg,True,890,667,3,1.3343,,147.6278,149.022,60.9716,41.jpg,0,41,dafb95cc07149c9f6b3ce58c316c18bbdaada05babb9b4a08c243eb2e4d8124f,900080531e3e0900
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\42.jpg,True,1373,1029,3,1.3343,,46.1296,112.0298,66.0531,42.jpg,0,42,f37361f871d7e0951f4d5c929355688dcab9a66acf3ab980138c24cf7893b588,2c5a3a7c9adcc5f7
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\43.jpg,True,1307,980,3,1.3337,,23.1937,101.9011,64.917,43.jpg,0,43,dda3a11e0f572377c7ae8999fb3903531c829b0a9dd426630134c6bf693a96ba,0dc3e1651fdf3f1f
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\45.jpg,True,1298,973,3,1.334,,44.0075,79.5557,29.8761,45.jpg,0,45,7f6fd89ecdcc77b0c4775559345d0097e4802f1f02ec166b4fe280d17a97097f,fffbbf3733273531
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\46.jpg,True,805,603,3,1.335,,57.1094,101.7016,61.5731,46.jpg,0,46,1fc989e6bd0c05581b5fc9aab8b4e6c3746a1de3b85d79171f9b569455da752b,2b133b99bb73dbcf
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\47.jpg,True,1284,963,3,1.3333,,16.4451,94.0742,49.3923,47.jpg,0,47,de7cb74e7dd3a7578452f6b9cb048e49e138585c4952b4c4efcbfd67af8e8b40,f4e4811b2b968617
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\49.jpg,True,1475,1106,3,1.3336,,18.4083,89.5832,43.681,49.jpg,0,49,0ecfe1df9057424b0f028562939d6bf039baf2a57fda9ed329d4e1bb373b2ec7,2f0f0f0a030367fe
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\51.jpg,True,847,635,3,1.3339,,68.0105,116.6845,77.7312,51.jpg,0,51,0dc2381997402dd5eb3bd52b6f10126086760a5ab80b0455f5c7a57690cd05a8,850183950c081a1e
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\52.jpg,True,1399,1049,3,1.3337,,14.1036,184.6183,57.9821,52.jpg,0,52,c406cea4cca2680eba9b913826a0eb55014bd6243d29a593a22dd0acab9a1232,38b0fae4e6e2eef8
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\54.jpg,True,1145,858,3,1.3345,,54.4544,135.615,69.0352,54.jpg,0,54,d22f90b219e2c3af6adfed968b65369bb9f4be3d14ad1476f0d7de10d9737118,3c39b9b3b22686de
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\55.jpg,True,1476,1107,3,1.3333,,7.9488,153.9941,73.5604,55.jpg,0,55,a2cf6da36bdef822678dcc2b8331f0a1d1a487678bec1832fb2f7be828b169e8,54706060303c2f03
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\56.jpg,True,1286,964,3,1.334,,17.9954,96.5798,17.0328,56.jpg,0,56,35e8aa55fd02971f49bbc43a98cce55a2130c7ec35d4e2429718440f13c7cf58,f8f8fc3814044018
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\57.jpg,True,1116,837,3,1.3333,,66.6001,133.485,49.1662,57.jpg,0,57,fc216f6c6429af2ea7bef97731fa6032bded7bf584c07c72365e42e0c21d99f0,8e0371c1e1c17214
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\58.jpg,True,1474,1105,3,1.3339,,51.8128,104.5478,43.7747,58.jpg,0,58,ddc0363c23d50f83035e55a808d8b28886b2576cc845da2b0164404d105a6f5d,3227c7c3703a8f07
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\59.jpg,True,1228,921,3,1.3333,,30.5837,119.381,69.5285,59.jpg,0,59,51a79a8431d8574b067e265cf022934e7c0a749e52407d7ab87d0331d82216cc,9c7ef9341e9ccc03
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\60.jpg,True,1395,1046,3,1.3337,,331.6953,105.4285,68.6156,60.jpg,0,60,ecd7fe122ce1a222ef0b3d75486ff4a275502714197281e1fd770315e84e8cd5,b8381120282c0080
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\61.jpg,True,871,653,3,1.3338,,419.9203,109.3138,66.389,61.jpg,0,61,c17fa86f77f804c917d6cf7ee31b13872ad2283d1d6224e8d654ef9d915aeea0,f96d8f3d3b757d3f
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\62.jpg,True,872,654,3,1.3333,,41.1596,156.7857,69.2625,62.jpg,0,62,4a464b117438a285671c4f238654135550ab08e4480ff14631c898270152d8a9,f9ebeccc9eacc346
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\63.jpg,True,1132,849,3,1.3333,,54.369,123.6012,73.2233,63.jpg,1,63,ed1f4b5074c6e3e02cb63535e80ace08209e1eda3631750bda4638ae8e365813,e88ef361993e6c6e
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\64.jpg,True,1436,1077,3,1.3333,,178.8859,98.6221,49.7469,64.jpg,0,64,c75ec4db7063bfabbae620d8e157435d01136a972fea9c86f8a45331fb1525ba,cd993469c949c3c7
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\66.jpg,True,1279,959,3,1.3337,,215.3955,65.9195,50.8577,66.jpg,0,66,05b5f9b629495aa1696dc8f486d187bf5be21e67036529b7e9312ccc278a5f50,62842414e0e1e161
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\69.jpg,True,1270,952,3,1.334,,79.0368,96.0537,43.6533,69.jpg,0,69,5d77a5f6b839eb4c1fafa6fdfa679dd64291a7b5bac2bdd07c9ed6ec7addcbe5,28b264e8f8f9734f
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\70.jpg,True,826,619,3,1.3344,,1663.9475,95.7333,46.9121,70.jpg,0,70,b2ff07d170541b0c8c6e0d92b854f0d3163e63b8f78e15e7e28eeef084fd2023,d2c438ac2c190041
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\71.jpg,True,891,668,3,1.3338,,4081.4298,114.595,58.8087,71.jpg,0,71,6c8403509de686d167ba7bf2b495dc3f868e73618df691dfe101322b5485d52c,c8fee868ae303014
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\72.jpg,True,1199,899,3,1.3337,,402.0301,153.5427,50.3793,72.jpg,0,72,24414aa4358440468f07904c12374a13005117cea25be44ee5c9799ec9f4f8d8,70e0763a74f47435
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\73.jpg,True,1358,1018,3,1.334,,11.5564,93.7949,47.2549,73.jpg,0,73,428631f00fa63ff6d3a9057f0a461a210a48ce731eb898edb8f1f5b0a5af6c6e,6479f2cd64477b3b
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\76.jpg,True,1199,899,3,1.3337,,20.8776,115.7004,58.2559,76.jpg,0,76,d9e2fd38dad86a3c7bcefc4aac53651cdb3550bb20d0d3808970489e578f58d6,0c3f7320a696d8e0
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\78.jpg,True,872,654,3,1.3333,,40.1889,114.6667,71.3669,78.jpg,0,78,7b3051abb02008ae115038e5b4785550a70d9ac1916b0b99e43107f864d90f60,f0e3c78682283093
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\79.jpg,True,801,600,3,1.335,,102.0685,115.7361,51.3513,79.jpg,0,79,0f8e08cd7d90069d761c0924a8a52aca917a4443dbcd439052f30eaaf7bbec97,3f1b2f5c09e1233b
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\80.jpg,True,895,671,3,1.3338,,13.8635,62.2696,37.0433,80.jpg,0,80,ba97588e92cbeddd477add99324ca4bc614bbc2e3e2b5470a0dfa6246620d7bc,c4e7fc7979797173
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\81.jpg,True,874,655,3,1.3344,,127.1751,174.0312,76.3729,81.jpg,0,81,7e889a328ee21fa6697ac624181c87ca4cd7dc22392734c41e37df99347e845e,26479b933b7b4724
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\84.jpg,True,851,638,3,1.3339,,3142.5392,82.1614,51.1508,84.jpg,0,84,5de3ee37ae035f374a1a941520f894dada38a438f847c8d2fa613e15995f1024,cfdcf9e3e6cf8cac
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\86.jpg,True,891,668,3,1.3338,,57.0135,107.5911,57.5939,86.jpg,0,86,e2ca1197ccecb543fa1396c8d9f3a4039c2bf90dce2ec8d3fe46d8f26a8d159e,8019d1c0e074d0a3
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\87.jpg,True,883,662,3,1.3338,,37.5027,99.9676,68.3248,87.jpg,0,87,ee882d63f7db0c07a810c528b2a1f616b6adcbe62c3595c21ccef8c542a02f12,dc9ecb4f6b2c3193
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\88.jpg,True,877,657,3,1.3349,,768.9973,152.9891,90.225,88.jpg,0,88,6981c222e098004e1370915fc68ca96029be2ad5f12e0cc884fd3d5d8e43d09c,68a4e270981c8ccc
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\89.jpg,True,863,647,3,1.3338,,110.0575,88.1793,40.0841,89.jpg,0,89,540e415927c8bc39559bae34387233fd4bff3bb577a848aea34fc591831d3502,a0d89955733a1c05
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\91.jpg,True,1113,834,3,1.3345,,1555.4075,77.6758,39.9868,91.jpg,0,91,ecc25eeb73fa5a449d1ea54086210ae952f6c1d2afd0683e26bdc943b4855fc7,fcc8f434367a1e36
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\94.jpg,True,1107,830,3,1.3337,,54.2914,59.2641,46.574,94.jpg,0,94,ee76a29d47421cfec38f81ac551c712f970f339692a8b4efaac39df2271a5d7d,0a24b070391941c0
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\95.jpg,True,1170,877,3,1.3341,,18.7455,91.7514,41.2398,95.jpg,0,95,d6acbb42e63f84c17f39aa37cd4458870c877bb81177f5ae1497459de9ab1b62,7472faff7b3bdd6d
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\96.jpg,True,832,624,3,1.3333,,151.9393,130.4201,78.5158,96.jpg,0,96,175ccb12a8f6fedf76991cf50f56cb9ad69d6ee097b939424097454733f17a3f,e0f0d860737a3cbc
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\97.jpg,True,1481,1110,3,1.3342,,780.7446,131.1235,93.5454,97.jpg,0,97,e0217b63e8c46d083cb27d325350fd5d366639ba6926f686015373fb64cad12f,747971e76fcf9a1f
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\98.jpg,True,829,621,3,1.3349,,102.2,143.5607,81.561,98.jpg,0,98,51e0af628d4dc9effd6d7b94a4c53c0eba1d6923f3f56b70574379ff42d2bb52,6666666e2ece961e
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\100.jpg,True,1396,1047,3,1.3333,,17.1144,91.9925,40.2482,100.jpg,0,100,eedbd558d44a320e9737cb9dcc6da489bc2086ac9b7c33e766bc84313926656a,0f84d0d8fcf0743f
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\101.jpg,True,1291,968,3,1.3337,,43.7411,98.5062,56.2214,101.jpg,1,101,465cae9bf697f424b46b0f887bef3c175592cf06edd0cc421073fba61ad525cf,fc86062406272337
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\102.jpg,True,1167,875,3,1.3337,,34.1179,91.9488,53.2264,102.jpg,0,102,fcc59c2424a67957f8a50c134ce2eb6257f77805ca6ce8a6732c90dfffcbceac,3c746165b5f383a5
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\103.jpg,True,1116,837,3,1.3333,,1499.3895,117.0532,50.4913,103.jpg,0,103,5cfd40d1b35958ad4d2b2beb5e899d95ebf9c2599b0ac5c6706fdd938c2f9c33,8d1b33a0e3270c00
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\104.jpg,True,885,663,3,1.3348,,79.4127,120.5596,53.399,104.jpg,0,104,d29a4c72682414f17a153c5be9f1daf6c73a91690bb69766a2d92d31ee4137e2,e078a581913b3ece
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\105.jpg,True,1296,972,3,1.3333,,471.7198,108.0188,58.1036,105.jpg,0,105,50f573effb63aca40b8f9e545d0fa8cc857d52a14ba8ffb1dbd9e71e288a2f46,4a384fc39e67e19b
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\107.jpg,True,811,608,3,1.3339,,52.1486,106.3752,35.3429,107.jpg,0,107,0a99f439400336289c3a5a432d7dcb352be5670bc3850362793a22559b3100b1,c34c862e584824b4
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\108.jpg,True,1215,911,3,1.3337,,36.9902,144.4287,36.4124,108.jpg,0,108,0766749c7d5399efe372a4be7d307b03d38011e44f36ebffbf1bd4f0c1d3b44d,ac9c9a4accc898d8
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\110.jpg,True,1297,972,3,1.3344,,1386.6045,147.5043,74.3126,110.jpg,0,110,4113b74424875cadd287fa30e463d4d9675a2a5243a3418b3421868afa06c325,a7f9781c7c9c0539
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\114.jpg,True,880,660,3,1.3333,,520.3217,129.6306,58.4908,114.jpg,0,114,f7f5211bc275ef23fd41c4dcd2a1da1d829a878f47941d6811bdde82010d9fda,18182a1613232080
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\116.jpg,True,837,627,3,1.3349,,66.2011,138.346,62.2912,116.jpg,0,116,2d74bc59c031c42c582b602f96b5eba7681ca4aedd703d185e3bd8fef1b7cd50,5cdd78dedf9f9ecf
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\118.jpg,True,1328,996,3,1.3333,,55.8153,106.1915,55.5873,118.jpg,1,118,f0e094643ece9acff2c15f11d3dcc37a15c4192542330b7a368c39c7aa019261,6e189ebcbbb9383c
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\120.jpg,True,1450,1087,3,1.3339,,20.5949,66.1909,56.4037,120.jpg,0,120,7a2fe372ee8a37ce47225f544aeb099e2269b146a5ed0a03e54578ca9ee2b569,334fc1d1bb8614c6
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\122.jpg,True,1298,973,3,1.334,,60.3954,96.993,49.9823,122.jpg,0,122,412c6be8020d969fd9a9cce8acdd848ca0bb0bed0bedabe194032276a6edebc9,80000818c831030f
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\123.jpg,True,859,644,3,1.3339,,83.3707,88.7526,42.4472,123.jpg,0,123,3b58c552e28ce2f14e7cf14d467dacf227fdd607b7c12ccb1178f196da058a61,7662a3830c243820
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\124.jpg,True,1308,981,3,1.3333,,37.485,109.0744,47.4189,124.jpg,0,124,18038f3b358578cb50084d567f645f575688d91319a9bd3b28365829f1496df4,4fa0260f27c080d2
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\125.jpg,True,1285,963,3,1.3344,,14.5218,43.1223,43.5617,125.jpg,0,125,8c82c91652c9f041f6e4ee8c8324739248a7e3b0092333d2bcd8b057a9f66c92,31339b8b7f8f8307
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\126.jpg,True,1414,1060,3,1.334,,985.8474,132.0011,49.8343,126.jpg,0,126,87a0e20a228c80ef2d1654d49b6d78398430fb4fceea7bc1861efe844a9cfc1c,438402030b0b0bcb
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\128.jpg,True,1330,997,3,1.334,,14.9945,188.7353,72.7946,128.jpg,0,128,085a886f62fd793a9f09e2d56ecb8fe583d8f0872abb1239091b4ee09071bf9b,662e1dfa6c6870f6
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\129.jpg,True,856,642,3,1.3333,,433.8826,114.6625,51.2955,129.jpg,0,129,315d3ee84af52d3f8d0c93e4fe2f565b5c9b34c74199aeb949fcc1d905b9ede9,8808040830b4a76b
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\130.jpg,True,849,636,3,1.3349,,594.5042,87.6296,52.6229,130.jpg,0,130,fe070a34f314b9c19869f7b0897a5e8ecc224f5625e69ee6d73d27bffda0e505,ccd83c18cce1f0e4
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\133.jpg,True,817,612,3,1.335,,6308.2121,130.1352,56.6528,133.jpg,0,133,89c428de00588594f169dcf59537256a3574fd093d3b86f8351a2f2728318bf5,00e0f1b83cbdddfb
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\135.jpg,True,1283,962,3,1.3337,,228.2555,132.6435,56.3363,135.jpg,0,135,c1148e574319f20ba6dc92c61b80bda7b3414273459d8110e7ef7a22b28be957,e9ff22a69c9893f7
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\136.jpg,True,1439,1079,3,1.3336,,1106.143,134.3301,67.805,136.jpg,0,136,a6203628edbc6356e7096e023bcea555334b8cb8508959bd14c64bc330613c1e,653edec6471f3e27
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\137.jpg,True,841,630,3,1.3349,,8716.0825,100.4647,63.0928,137.jpg,0,137,78c8900d64d61875288ceff99227b70e72f0ca3f8028c63a07d39016c5410c05,6b132b19bb73dbcf
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\138.jpg,True,833,624,3,1.3349,,61.3101,144.496,45.2775,138.jpg,0,138,bf27bb14e9dae727690bc32d60e53198088b4e6177542a05fadfef2505c3d1fb,43c983936361250b
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\139.jpg,True,1149,861,3,1.3345,,120.0582,115.184,67.7841,139.jpg,0,139,cfa88046916e4156b881c43a452618bc93ef4b8f556ce96ef9dc2c52f8575ee4,34346060c98969c1
